gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,65,Personal Travel,86,1,5,1,1,2,2,4,114,120,Dissatisfied
Male,Loyal Customer,42,Business Travel,86,2,4,4,3,3,2,4,34,63,Dissatisfied
Female,Loyal Customer,33,Business Travel,86,4,4,4,5,4,4,4,23,27,Satisfied
Female,Disloyal Customer,40,Business Travel,86,1,1,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,53,Business Travel,86,4,5,5,2,1,4,2,0,0,Dissatisfied
Male,Loyal Customer,67,Personal Travel,86,3,4,3,4,3,3,3,0,0,Dissatisfied
Female,Loyal Customer,51,Business Travel,86,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,59,Business Travel,86,0,4,0,2,1,1,3,8,3,Satisfied
Male,Loyal Customer,39,Business Travel,86,5,5,5,2,5,4,4,0,0,Satisfied
Female,Loyal Customer,32,Business Travel,86,5,5,5,4,4,5,4,0,14,Satisfied
Female,Loyal Customer,39,Business Travel,86,1,4,4,5,2,1,2,0,22,Dissatisfied
Male,Loyal Customer,35,Business Travel,86,3,2,2,2,1,3,3,0,0,Dissatisfied
Female,Loyal Customer,57,Business Travel,86,0,5,0,4,1,1,3,20,28,Satisfied
Female,Loyal Customer,66,Personal Travel,86,3,5,3,3,5,5,4,0,0,Dissatisfied
Male,Loyal Customer,46,Business Travel,86,1,1,1,5,5,1,2,0,0,Satisfied
Male,Loyal Customer,67,Personal Travel,86,4,4,4,5,4,4,4,0,0,Dissatisfied
Female,Loyal Customer,64,Business Travel,86,1,2,2,1,2,1,3,0,1,Dissatisfied
Male,Loyal Customer,7,Personal Travel,337,3,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,39,Business Travel,86,4,1,1,2,1,4,3,20,12,Dissatisfied
Male,Loyal Customer,49,Personal Travel,86,5,2,4,4,4,4,4,0,0,Neutral
Male,Disloyal Customer,21,Business Travel,89,4,0,5,3,3,5,3,0,0,Satisfied
Female,Loyal Customer,39,Business Travel,89,4,3,3,3,2,4,3,0,0,Dissatisfied
Male,Loyal Customer,54,Business Travel,89,2,3,3,2,2,2,4,0,0,Dissatisfied
Female,Loyal Customer,60,Business Travel,89,1,1,4,3,4,4,5,0,0,Satisfied
Male,Disloyal Customer,27,Business Travel,89,2,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,54,Business Travel,89,4,1,4,4,5,5,5,5,0,Satisfied
Male,Loyal Customer,49,Business Travel,89,2,2,2,3,4,4,3,0,0,Satisfied
Male,Loyal Customer,30,Business Travel,337,4,5,4,4,4,5,4,10,0,Satisfied
Male,Loyal Customer,55,Business Travel,89,1,1,1,2,3,3,2,49,59,Satisfied
Female,Loyal Customer,27,Business Travel,89,4,4,4,4,4,4,4,0,0,Satisfied
Male,Loyal Customer,35,Business Travel,89,2,3,3,4,1,2,4,0,2,Dissatisfied
Male,Loyal Customer,56,Business Travel,89,3,4,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,37,Business Travel,89,4,4,4,3,3,4,3,0,0,Dissatisfied
Female,Loyal Customer,42,Business Travel,89,0,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,38,Business Travel,89,5,5,3,3,5,4,3,0,0,Satisfied
Female,Loyal Customer,39,Business Travel,89,1,1,1,4,4,4,4,0,0,Satisfied
Male,Loyal Customer,54,Business Travel,89,4,3,4,1,5,4,3,76,70,Satisfied
Female,Loyal Customer,36,Business Travel,89,3,3,3,1,5,3,3,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,89,0,5,0,5,1,1,4,0,0,Satisfied
Female,Loyal Customer,56,Business Travel,89,1,1,1,4,4,4,4,0,0,Satisfied
Female,Loyal Customer,25,Business Travel,89,4,5,5,0,0,4,0,0,0,Unknown
Female,Loyal Customer,38,Business Travel,89,5,1,5,5,4,5,5,0,0,Satisfied
Male,Disloyal Customer,39,Business Travel,89,5,0,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,33,Business Travel,89,1,1,1,2,2,5,2,0,0,Dissatisfied
Male,Loyal Customer,57,Business Travel,89,2,2,2,2,5,4,4,5,4,Satisfied
Female,Loyal Customer,49,Business Travel,89,0,4,0,5,5,5,5,0,0,Satisfied
Female,Loyal Customer,49,Business Travel,89,2,3,4,2,3,2,2,37,30,Dissatisfied
Male,Loyal Customer,38,Business Travel,89,5,5,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,57,Business Travel,89,2,4,4,4,1,2,4,0,19,Dissatisfied
Male,Loyal Customer,36,Business Travel,89,4,4,4,3,5,3,2,0,4,Satisfied
Male,Loyal Customer,15,Personal Travel,89,3,5,3,4,4,5,4,0,0,Dissatisfied
Male,Loyal Customer,49,Business Travel,89,5,5,5,3,5,5,5,0,0,Satisfied
Male,Loyal Customer,39,Business Travel,89,2,2,4,4,4,4,4,0,0,Neutral
Male,Disloyal Customer,26,Business Travel,89,4,3,4,4,4,3,4,29,25,Dissatisfied
Male,Loyal Customer,49,Business Travel,89,0,4,0,3,3,3,5,21,15,Satisfied
Female,Disloyal Customer,47,Business Travel,89,2,2,2,4,4,4,4,0,0,Dissatisfied
Male,Loyal Customer,57,Business Travel,89,0,4,0,3,4,4,4,0,0,Satisfied
Male,Loyal Customer,42,Business Travel,89,2,5,5,1,3,2,3,0,0,Dissatisfied
Male,Loyal Customer,36,Business Travel,89,4,4,4,5,4,5,5,134,129,Satisfied
Male,Disloyal Customer,35,Business Travel,89,3,3,3,3,3,4,3,0,0,Dissatisfied
Female,Disloyal Customer,39,Business Travel,89,2,2,2,4,4,4,4,0,44,Satisfied
Male,Disloyal Customer,62,Business Travel,89,3,3,3,4,4,3,4,13,9,Dissatisfied
Male,Loyal Customer,33,Business Travel,89,2,3,3,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,34,Business Travel,89,5,5,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,25,Business Travel,89,1,3,1,2,2,4,2,0,0,Unknown
Male,Loyal Customer,50,Personal Travel,89,4,4,0,2,4,4,3,23,14,Dissatisfied
Male,Loyal Customer,59,Business Travel,89,2,3,3,4,4,2,4,0,0,Dissatisfied
Male,Disloyal Customer,55,Business Travel,89,2,2,2,3,3,4,3,0,0,Satisfied
Male,Disloyal Customer,39,Business Travel,89,4,4,4,4,4,3,4,0,0,Dissatisfied
Female,Loyal Customer,50,Business Travel,89,1,1,1,5,4,3,3,28,19,Satisfied
Female,Loyal Customer,52,Business Travel,89,2,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,48,Business Travel,89,4,4,4,4,4,4,5,19,16,Satisfied
Female,Disloyal Customer,27,Business Travel,89,3,3,3,3,3,4,3,57,52,Dissatisfied
Male,Loyal Customer,38,Business Travel,89,4,1,1,3,1,4,4,13,0,Dissatisfied
Female,Loyal Customer,49,Business Travel,90,4,4,2,3,4,4,3,0,0,Satisfied
Female,Loyal Customer,69,Personal Travel,90,3,3,3,3,3,3,2,0,25,Dissatisfied
Female,Loyal Customer,41,Business Travel,90,4,1,4,5,3,5,5,64,210,Satisfied
Female,Loyal Customer,42,Business Travel,90,3,2,2,5,4,3,4,0,0,Dissatisfied
Female,Disloyal Customer,47,Business Travel,90,1,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,66,Personal Travel,90,2,4,2,2,3,3,4,0,0,Dissatisfied
Female,Loyal Customer,46,Personal Travel,90,2,5,2,5,5,5,4,0,25,Dissatisfied
Male,Loyal Customer,48,Business Travel,90,3,3,3,3,5,4,5,0,4,Satisfied
Female,Loyal Customer,37,Personal Travel,95,2,3,2,1,5,5,5,0,0,Dissatisfied
Male,Loyal Customer,51,Business Travel,95,5,5,5,1,5,5,5,0,0,Satisfied
Female,Loyal Customer,17,Business Travel,95,2,2,4,4,4,3,4,0,0,Satisfied
Male,Loyal Customer,46,Business Travel,95,1,1,4,3,5,4,3,1,0,Satisfied
Male,Loyal Customer,54,Business Travel,95,4,4,4,2,4,5,4,2,0,Satisfied
Male,Loyal Customer,30,Business Travel,337,4,4,4,4,3,4,3,10,0,Satisfied
Male,Disloyal Customer,22,Business Travel,95,5,0,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,50,Business Travel,95,1,3,3,4,4,4,3,455,0,Dissatisfied
Female,Disloyal Customer,40,Business Travel,95,5,5,5,2,2,2,2,3,16,Satisfied
Female,Disloyal Customer,36,Business Travel,96,3,3,3,2,2,4,2,0,0,Dissatisfied
Female,Disloyal Customer,37,Business Travel,96,4,4,4,4,4,4,4,123,124,Satisfied
Female,Loyal Customer,59,Business Travel,96,3,3,3,3,4,4,4,0,0,Satisfied
Male,Loyal Customer,62,Business Travel,96,2,2,2,3,5,4,2,0,0,Satisfied
Female,Disloyal Customer,25,Business Travel,96,5,0,5,5,5,5,5,0,0,Unknown
Male,Disloyal Customer,38,Business Travel,96,4,4,4,2,2,4,2,0,0,Satisfied
Female,Disloyal Customer,35,Business Travel,96,3,3,3,2,2,4,2,0,15,Dissatisfied
Female,Disloyal Customer,37,Business Travel,96,2,2,2,2,2,4,2,0,0,Dissatisfied
Male,Disloyal Customer,33,Business Travel,96,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,50,Personal Travel,96,4,4,0,3,3,3,4,0,3,Satisfied
Male,Loyal Customer,40,Business Travel,98,1,1,1,5,5,4,5,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,100,3,3,3,3,4,5,5,0,0,Satisfied
Female,Loyal Customer,48,Business Travel,100,5,5,5,4,4,4,5,0,0,Satisfied
Female,Disloyal Customer,36,Business Travel,100,4,4,4,2,2,4,2,122,119,Dissatisfied
Male,Loyal Customer,38,Business Travel,100,5,5,5,2,4,4,4,0,0,Satisfied
Male,Loyal Customer,51,Business Travel,100,0,5,0,5,4,4,5,0,0,Satisfied
Male,Loyal Customer,57,Business Travel,100,0,4,0,4,5,1,5,0,0,Satisfied
Male,Loyal Customer,43,Business Travel,101,0,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,30,Business Travel,337,0,5,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,51,Business Travel,101,0,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,51,Business Travel,101,0,3,1,5,3,3,5,0,5,Satisfied
Female,Loyal Customer,66,Business Travel,101,2,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,43,Business Travel,101,1,1,1,4,4,3,4,5,13,Satisfied
Male,Loyal Customer,35,Business Travel,101,3,3,3,5,4,3,3,0,0,Satisfied
Male,Loyal Customer,42,Business Travel,101,0,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,41,Business Travel,101,2,2,2,4,5,4,5,0,0,Satisfied
Male,Loyal Customer,32,Business Travel,101,3,2,3,4,4,3,4,0,1,Satisfied
Female,Loyal Customer,43,Business Travel,101,3,3,3,5,4,4,5,0,0,Satisfied
Male,Loyal Customer,50,Business Travel,101,1,4,1,1,4,5,4,4,16,Satisfied
Female,Disloyal Customer,45,Business Travel,101,2,2,2,5,5,5,5,0,0,Dissatisfied
Male,Loyal Customer,48,Business Travel,101,3,5,5,2,1,3,2,0,0,Dissatisfied
Male,Loyal Customer,37,Business Travel,101,4,4,4,2,5,3,5,0,0,Satisfied
Female,Loyal Customer,65,Business Travel,101,1,1,1,2,3,1,3,0,0,Dissatisfied
Female,Disloyal Customer,22,Business Travel,101,3,2,3,5,5,1,5,0,0,Dissatisfied
Male,Loyal Customer,21,Personal Travel,101,2,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,56,Personal Travel,101,2,4,2,4,4,4,5,0,0,Dissatisfied
Male,Loyal Customer,47,Personal Travel,101,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,40,Business Travel,101,2,5,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,56,Personal Travel,101,3,3,3,2,4,4,3,0,0,Dissatisfied
Female,Loyal Customer,49,Personal Travel,101,4,5,4,5,3,3,4,0,0,Satisfied
Female,Loyal Customer,44,Business Travel,101,4,4,4,5,5,5,3,0,0,Satisfied
Female,Loyal Customer,68,Business Travel,101,2,2,2,2,4,5,4,0,3,Satisfied
Female,Loyal Customer,17,Business Travel,101,2,5,5,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,43,Business Travel,101,4,4,4,3,4,4,5,0,0,Satisfied
Female,Disloyal Customer,26,Business Travel,101,2,5,2,4,4,4,4,0,2,Dissatisfied
Female,Loyal Customer,38,Business Travel,101,5,5,5,3,4,5,2,5,9,Satisfied
Female,Loyal Customer,70,Personal Travel,101,5,5,0,1,2,2,4,0,0,Satisfied
Female,Loyal Customer,36,Business Travel,101,5,5,5,5,4,4,3,0,0,Satisfied
Male,Loyal Customer,62,Business Travel,101,1,1,1,4,4,3,2,0,0,Satisfied
Female,Loyal Customer,49,Business Travel,101,1,4,4,3,2,1,3,11,14,Dissatisfied
Male,Loyal Customer,17,Personal Travel,101,0,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,39,Business Travel,101,2,2,5,5,5,3,4,0,0,Satisfied
Female,Disloyal Customer,27,Business Travel,101,4,4,4,4,4,4,4,0,0,Satisfied
Male,Loyal Customer,58,Business Travel,101,5,5,5,4,4,4,5,0,5,Satisfied
Female,Loyal Customer,45,Business Travel,101,3,3,3,5,5,5,4,0,0,Satisfied
Female,Loyal Customer,34,Business Travel,101,3,4,4,4,3,3,4,35,42,Dissatisfied
Male,Loyal Customer,38,Business Travel,101,5,5,5,4,5,4,2,0,0,Satisfied
Female,Loyal Customer,11,Personal Travel,101,1,5,1,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,34,Business Travel,101,0,5,4,4,4,4,4,0,0,Neutral
Male,Disloyal Customer,57,Business Travel,101,2,2,2,3,3,5,3,13,21,Dissatisfied
Male,Loyal Customer,46,Business Travel,101,0,4,0,3,3,3,5,0,0,Satisfied
Female,Loyal Customer,67,Personal Travel,101,3,4,3,4,2,2,4,0,4,Dissatisfied
Female,Disloyal Customer,22,Business Travel,101,4,4,4,5,5,5,5,0,0,Satisfied
Female,Loyal Customer,36,Business Travel,101,2,2,3,5,4,2,4,6,22,Dissatisfied
Male,Loyal Customer,37,Business Travel,101,1,1,1,1,4,4,2,0,0,Satisfied
Female,Loyal Customer,36,Business Travel,101,3,3,4,5,4,4,3,0,0,Satisfied
Female,Loyal Customer,62,Business Travel,101,2,2,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,22,Business Travel,101,4,1,4,5,5,3,5,0,0,Dissatisfied
Female,Loyal Customer,41,Business Travel,101,3,3,3,3,4,4,2,0,3,Satisfied
Male,Disloyal Customer,33,Business Travel,101,2,2,2,4,4,3,4,0,0,Dissatisfied
Female,Loyal Customer,55,Personal Travel,101,1,3,1,2,3,3,2,0,0,Dissatisfied
Female,Loyal Customer,57,Business Travel,101,1,1,1,3,5,5,5,0,0,Satisfied
Male,Loyal Customer,36,Business Travel,101,2,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,47,Business Travel,101,2,3,3,3,1,2,3,0,0,Dissatisfied
Male,Loyal Customer,47,Business Travel,102,2,2,2,5,4,4,3,0,1,Satisfied
Male,Loyal Customer,39,Business Travel,102,0,5,0,2,5,5,3,6,4,Satisfied
Male,Loyal Customer,60,Business Travel,102,0,4,0,4,3,3,4,0,0,Satisfied
Female,Disloyal Customer,44,Business Travel,102,4,3,3,4,4,4,4,0,0,Satisfied
Male,Disloyal Customer,36,Business Travel,102,2,2,2,5,5,5,5,35,28,Dissatisfied
Male,Loyal Customer,60,Business Travel,102,1,1,5,2,5,5,3,0,0,Satisfied
Female,Loyal Customer,34,Business Travel,102,5,5,5,2,5,3,5,0,4,Satisfied
Female,Loyal Customer,49,Business Travel,102,4,4,4,5,3,5,4,0,0,Satisfied
Female,Disloyal Customer,27,Business Travel,102,2,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,48,Business Travel,102,3,3,3,5,4,4,3,0,0,Satisfied
Male,Loyal Customer,11,Personal Travel,102,1,4,1,5,5,5,5,0,0,Dissatisfied
Female,Loyal Customer,58,Business Travel,102,2,2,2,4,5,4,4,0,0,Satisfied
Male,Disloyal Customer,26,Business Travel,102,0,0,0,4,4,5,4,0,0,Satisfied
Female,Loyal Customer,55,Business Travel,102,4,4,4,5,5,4,3,7,7,Satisfied
Female,Loyal Customer,41,Business Travel,102,5,5,5,3,5,4,5,0,0,Satisfied
Male,Loyal Customer,69,Business Travel,102,1,1,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,40,Business Travel,102,3,3,3,5,5,2,5,26,33,Dissatisfied
Male,Loyal Customer,24,Business Travel,102,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,41,Business Travel,102,1,5,5,2,2,1,4,0,0,Dissatisfied
Male,Loyal Customer,48,Business Travel,102,0,4,0,5,2,2,3,0,0,Satisfied
Female,Loyal Customer,47,Personal Travel,102,2,2,2,1,1,1,4,0,0,Dissatisfied
Female,Loyal Customer,52,Business Travel,102,5,5,5,3,5,5,4,26,21,Satisfied
Female,Disloyal Customer,40,Business Travel,102,4,4,4,2,2,5,2,5,4,Dissatisfied
Female,Loyal Customer,22,Business Travel,102,2,2,2,4,4,2,4,2,0,Satisfied
Female,Disloyal Customer,22,Business Travel,102,2,4,2,2,2,4,2,5,14,Dissatisfied
Male,Loyal Customer,46,Business Travel,102,1,1,1,5,4,4,3,101,98,Satisfied
Male,Loyal Customer,43,Business Travel,102,1,1,1,5,5,4,5,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,102,2,2,2,3,5,4,3,0,0,Satisfied
Male,Loyal Customer,63,Business Travel,102,1,1,1,2,4,5,3,0,0,Satisfied
Male,Loyal Customer,51,Business Travel,102,1,1,1,3,5,4,5,0,0,Satisfied
Female,Disloyal Customer,33,Business Travel,102,1,1,1,2,2,4,2,8,43,Dissatisfied
Female,Loyal Customer,43,Business Travel,102,0,3,0,5,5,2,5,0,0,Unknown
Female,Loyal Customer,53,Business Travel,102,1,1,1,2,4,4,3,0,1,Satisfied
Female,Loyal Customer,35,Business Travel,102,1,1,1,5,4,5,4,0,0,Satisfied
Male,Loyal Customer,39,Business Travel,102,2,2,2,4,5,5,2,9,5,Satisfied
Female,Loyal Customer,74,Business Travel,102,4,4,4,5,4,4,2,31,34,Dissatisfied
Female,Loyal Customer,55,Business Travel,102,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,56,Business Travel,102,5,4,5,3,4,4,4,34,31,Satisfied
Female,Loyal Customer,43,Business Travel,102,2,3,3,2,2,2,4,0,0,Dissatisfied
Female,Loyal Customer,43,Business Travel,102,2,2,2,4,5,5,4,0,0,Satisfied
Male,Loyal Customer,47,Personal Travel,102,1,2,0,5,1,1,4,0,0,Dissatisfied
Female,Loyal Customer,43,Business Travel,102,3,3,3,3,4,5,3,39,48,Satisfied
Female,Disloyal Customer,26,Business Travel,102,3,3,3,4,4,4,4,0,0,Dissatisfied
Female,Loyal Customer,59,Business Travel,102,0,5,1,3,5,3,4,0,5,Satisfied
Female,Loyal Customer,43,Business Travel,102,4,4,4,4,5,4,4,140,156,Satisfied
Male,Loyal Customer,55,Business Travel,102,5,3,5,4,4,4,3,0,0,Satisfied
Female,Loyal Customer,44,Business Travel,102,5,5,5,5,4,5,3,0,0,Satisfied
